02 9 0 0 25 5095 1 1 20 901 0,63
02 9 0 0 25 5095 2 87 114 0 0,50
02 9 0 0 25 5095 3 63 114 0 0,55
02 9 0 0 25 5106 1 68 114 0 0,20
02 9 0 0 25 5113 3 12 101 10 0,24
02 9 0 0 25 5113 6 12 101 10 0,04
02 9 0 0 25 5117 11 85 114 0 0,06
02 9 0 0 25 5118 16 10 101 10 0,02
02 9 0 0 25 5118 20 7 101 10 0,15
02 9 0 0 25 5121 3 77 114 0 0,02
02 9 0 0 25 5122 1 10 101 10 0,15
02 9 0 0 25 5124 9 84 114 0 0,06
02 9 0 0 25 5128 1 32 102 0 1,19
02 9 0 0 25 5128 2 44 102 0 0,81
02 9 0 0 25 5128 4 75 114 0 1,47
02 9 0 0 25 5128 13 39 102 0 0,22
02 9 0 0 25 5129 2 39 102 0 0,01
02 9 0 0 25 5138 1 54 102 0 3,08
02 9 0 0 25 5138 3 82 114 0 0,11
02 9 0 0 25 5146 6 32 102 0 0,01
02 9 0 0 25 5146 8 32 102 0 0,02
02 9 0 0 25 5163 1 2 20 901 0,24
02 9 0 0 25 5169 4 29 102 0 0,79
02 9 0 0 25 5170 6 92 335 0 0,07
02 9 0 0 25 5177 1 52 102 0 2,08
02 9 0 0 25 15114 2 5 101 10 0,12
02 9 0 0 25 35114 2 7 101 10 0,19
02 9 0 0 522 5113 1 35 102 0 2,14
02 9 0 0 522 5113 2 81 114 0 0,05
02 9 0 0 522 5114 1 35 102 0 0,02
02 9 0 0 522 5115 1 40 102 0 2,55
02 9 0 0 522 5115 2 96 335 0 0,06
02 9 0 0 522 5116 1 40 102 0 0,20
02 9 0 0 522 5116 2 76 114 0 0,17
02 9 0 0 522 5122 29 17 101 134 0,01
02 9 0 0 522 5125 2 99 335 0 0,01
02 9 0 0 522 5131 4 14 101 10 0,32
02 9 0 0 522 5131 5 58 104 14 0,06
02 9 0 0 522 5131 12 49 102 0 1,40
02 9 0 0 522 5131 16 73 114 0 0,02
02 9 0 0 522 5131 19 62 104 14 1,17
02 9 0 0 522 5131 22 6 101 10 0,20
02 9 0 0 522 5131 25 56 104 14 0,05
02 9 0 0 522 5132 1 56 104 14 0,09
02 9 0 0 522 5132 3 79 114 0 0,01
46 130 0 0 17 8 2 43 102 0 0,90
46 130 0 0 17 8 4 9 101 10 0,01
46 130 0 0 17 8 5 16 101 10 0,01
46 130 0 0 17 8 6 15 101 10 0,01
46 130 0 0 17 8 8 101 335 0 0,02
46 130 0 0 17 8 16 8 101 10 0,31
46 130 0 0 17 8 19 43 102 0 0,03
46 130 0 0 17 8 20 57 104 14 0,09
46 130 0 0 17 8 21 59 104 13 0,13
46 130 0 0 17 10 1 22 102 0 0,99
46 130 0 0 17 10 3 53 102 0 0,26
46 130 0 0 17 10 5 28 102 0 0,02
46 130 0 0 17 10 7 28 102 0 0,40
46 130 0 0 17 10 11 95 335 0 0,02
46 130 0 0 17 10 13 93 335 0 0,02
46 130 0 0 17 10 15 100 335 0 0,01
